127.0.0.1 - - [07/Apr/2022:12:26:48 -0500] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:39 -0500] "GET /Strategos/componentes/menu/listmenu_fallback.css HTTP/1.1" 404 747
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:40 -0500] "GET /Strategos/componentes/barraHerramientas/eliminar_2.gif HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:40 -0500] "GET /Strategos/componentes/barraHerramientas/modificar_2.gif HTTP/1.1" 200 816
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:40 -0500] "GET /Strategos/componentes/barraHerramientas/nuevo_2.gif HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:41 -0500] "GET /Strategos/iniciativas/crearIniciativa.action?source=IniciativaGeneral&planId= HTTP/1.1" 200 67313
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:41 -0500] "GET /Strategos/componentes/comunes/jsComunes.jsp HTTP/1.1" 200 51236
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:41 -0500] "GET /Strategos/paginas/strategos/iniciativas/iniciativaJs/iniciativaJs.js HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:41 -0500] "GET /Strategos/componentes/fichaDatos/selector.gif HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:41 -0500] "GET /Strategos/componentes/comunes/staticJavascript.jsp HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:41 -0500] "GET /Strategos/componentes/cuadroNumerico/cuadroNumerico.js HTTP/1.1" 200 2352
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:41 -0500] "GET /Strategos/componentes/formulario/cancelar.gif HTTP/1.1" 200 69
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:41 -0500] "GET /Strategos/componentes/contenedorPaneles/contenedorPaneles.js HTTP/1.1" 200 2505
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:41 -0500] "GET /Strategos/paginas/strategos/indicadores/indicadoresJs/indicadores.js HTTP/1.1" 200 10511
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:41 -0500] "GET /Strategos/componentes/calendario/eliminar.gif HTTP/1.1" 200 69
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:41 -0500] "GET /Strategos/componentes/cuadroNumerico/downcontrolactivo.gif HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:41 -0500] "GET /Strategos/componentes/cuadroNumerico/upcontrolactivo.gif HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:41 -0500] "GET /Strategos/componentes/cuadroNumerico/updowncontrol.gif HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:43 -0500] "POST /Strategos/iniciativas/cancelarGuardarIniciativa.action?desdeInstrumento=false HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:43 -0500] "GET /Strategos/componentes/comunes/jsComunes.jsp HTTP/1.1" 200 51236
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:43 -0500] "GET /Strategos/iniciativas/gestionarIniciativas.action HTTP/1.1" 200 162496
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:44 -0500] "GET /Strategos/componentes/menu/listmenu_fallback.css HTTP/1.1" 404 747
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:44 -0500] "GET /Strategos/componentes/visorLista/visorListaJsTag.jsp HTTP/1.1" 200 17362
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:44 -0500] "GET /Strategos/componentes/menu/listmenu_fallback.css HTTP/1.1" 404 747
